chunk_id,embedding_index
doc00028_chunk020,456
doc00028_chunk021,457
doc00028_chunk022,458
doc00028_chunk023,459
doc00028_chunk024,460
doc00029_chunk000,461
doc00029_chunk001,462
doc00029_chunk002,463
doc00029_chunk003,464
doc00029_chunk004,465
doc00029_chunk005,466
doc00029_chunk006,467
doc00029_chunk007,468
doc00029_chunk008,469
doc00029_chunk009,470
doc00029_chunk010,471
doc00029_chunk011,472
doc00029_chunk012,473
doc00030_chunk000,474
doc00030_chunk001,475
doc00030_chunk002,476
doc00030_chunk003,477
doc00030_chunk004,478
doc00030_chunk005,479
doc00030_chunk006,480
doc00030_chunk007,481
doc00030_chunk008,482
doc00030_chunk009,483
doc00030_chunk010,484
doc00030_chunk011,485
doc00030_chunk012,486
doc00030_chunk013,487
doc00030_chunk014,488
doc00030_chunk015,489
doc00030_chunk016,490
doc00030_chunk017,491
doc00030_chunk018,492
doc00030_chunk019,493
doc00030_chunk020,494
doc00030_chunk021,495
doc00030_chunk022,496
doc00030_chunk023,497
doc00031_chunk000,498
doc00031_chunk001,499
doc00031_chunk002,500
doc00031_chunk003,501
doc00031_chunk004,502
doc00031_chunk005,503
doc00031_chunk006,504
doc00031_chunk007,505
doc00031_chunk008,506
doc00031_chunk009,507
doc00031_chunk010,508
doc00031_chunk011,509
doc00031_chunk012,510
doc00031_chunk013,511
doc00031_chunk014,512
doc00031_chunk015,513
doc00031_chunk016,514
doc00031_chunk017,515
doc00031_chunk018,516
doc00031_chunk019,517
doc00031_chunk020,518
doc00031_chunk021,519
doc00031_chunk022,520
doc00031_chunk023,521
doc00031_chunk024,522
doc00032_chunk000,523
doc00032_chunk001,524
doc00032_chunk002,525
doc00032_chunk003,526
doc00033_chunk000,527
doc00033_chunk001,528
doc00033_chunk002,529
doc00033_chunk003,530
doc00034_chunk000,531
doc00034_chunk001,532
doc00034_chunk002,533
doc00034_chunk003,534
doc00034_chunk004,535
doc00034_chunk005,536
doc00034_chunk006,537
doc00034_chunk007,538
doc00034_chunk008,539
doc00034_chunk009,540
